Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.9753286575265216,0.05642420122365738,0.8736842105263158,0.10600255427841634,0.9656552724948415,0.6736847981553121
Random Forest,0.9994537059880872,0.9324324324324325,0.7263157894736842,0.8165680473372781,0.932001293236799,0.8125360172441756
